N,P,K,temperature,humidity,ph,rainfall,previous_crop,farm_size_hectares,current_crop
24.82,30.61,34.32,10.0,55.4,6.65,10.96,Wheat,0.78,Mustard
36.57,70.56,21.24,29.6,63.74,6.11,77.45,Wheat,0.62,PigeonPeas
92.27,51.51,35.81,29.99,77.11,6.79,287.92,Rice,0.18,Maize
27.16,69.22,15.67,26.76,63.81,5.95,99.88,Wheat,0.73,MungBean
87.34,45.88,56.42,28.25,79.68,6.91,232.66,Wheat,0.14,Sugarcane
21.4,32.14,26.83,15.0,51.47,6.43,49.77,Maize,1.17,Mustard
26.49,34.53,37.53,19.73,64.93,6.83,24.54,Wheat,0.2,Mustard
89.94,40.95,32.72,17.03,69.39,6.16,16.78,Rice,0.49,Wheat
86.25,43.36,53.27,29.37,88.28,6.82,246.95,Maize,0.39,Rice
21.29,25.85,26.08,18.51,50.86,6.01,18.73,Wheat,0.97,Mustard
77.49,41.31,25.53,28.94,63.14,6.97,248.9,Rice,0.26,Maize
33.81,27.08,32.33,12.41,59.79,6.27,18.55,Wheat,0.95,Mustard
35.02,66.17,21.01,27.69,62.21,5.73,64.68,Rice,0.65,PigeonPeas
83.47,48.11,51.56,34.47,79.98,6.27,263.45,Wheat,1.42,Sugarcane
26.83,79.04,22.9,26.85,62.91,6.1,98.62,Wheat,0.97,MungBean
17.87,38.34,86.33,19.01,52.55,7.67,13.9,Millet,0.66,Chickpea
22.13,36.65,81.06,19.51,45.13,7.63,31.67,Millet,0.4,Chickpea
85.62,44.44,25.37,29.02,68.62,7.34,264.7,Rice,0.75,Maize
81.87,56.1,20.78,30.74,73.93,7.35,289.99,Wheat,0.56,Maize
75.45,41.44,54.61,31.24,89.21,7.89,206.82,Wheat,0.17,Sugarcane
32.45,78.59,15.68,29.35,54.22,6.05,66.7,Rice,0.58,MungBean
21.17,25.57,32.76,12.15,51.97,6.67,41.9,Maize,0.23,Mustard
84.0,44.54,55.3,32.08,74.29,6.69,251.48,Rice,0.48,Sugarcane
35.92,34.09,23.31,15.65,61.9,6.63,23.09,Maize,0.28,Mustard
16.15,41.8,79.74,11.27,59.08,7.18,38.92,Maize,0.2,Chickpea
82.76,44.34,44.55,28.76,86.96,6.54,274.48,Wheat,0.69,Rice
81.21,45.82,31.97,14.59,76.8,7.47,42.97,Maize,0.77,Wheat
20.71,74.26,22.18,28.16,66.4,5.61,61.51,Wheat,0.74,PigeonPeas
36.62,72.54,24.14,28.02,57.73,5.97,65.63,Wheat,1.0,PigeonPeas
82.63,40.23,46.71,29.52,88.26,6.5,231.97,Wheat,0.2,Rice
83.58,42.48,59.92,33.18,89.59,6.94,269.42,Rice,0.66,Sugarcane
21.35,40.84,72.19,13.01,52.05,7.4,40.31,Millet,0.37,Chickpea
35.96,74.67,19.72,27.85,66.69,6.29,65.2,Wheat,0.78,PigeonPeas
77.78,59.82,27.0,16.79,66.7,6.63,35.92,Rice,0.42,Wheat
73.09,54.13,49.09,29.1,76.54,6.61,212.1,Maize,0.94,Rice
23.16,76.05,20.76,27.35,60.54,6.3,56.67,Rice,0.77,PigeonPeas
21.23,34.19,30.29,16.18,56.18,6.77,34.29,Maize,0.88,Mustard
84.13,58.97,45.39,30.97,82.04,7.93,234.82,Rice,0.15,Sugarcane
21.65,72.99,17.51,28.15,68.38,6.33,91.96,Rice,0.26,MungBean
15.12,48.16,80.07,19.29,57.19,7.84,45.45,Millet,0.42,Chickpea
71.0,55.31,55.34,31.95,76.97,7.78,240.26,Wheat,0.59,Sugarcane
20.93,28.25,31.38,15.99,53.82,6.93,46.24,Maize,1.7,Mustard
73.85,52.57,54.63,28.72,79.06,6.03,240.32,Wheat,0.37,Rice
84.54,59.19,24.41,29.57,70.83,6.67,254.63,Rice,0.92,Maize
92.33,55.54,38.74,29.82,64.73,7.4,259.11,Rice,0.73,Maize
29.09,74.33,17.91,25.0,55.48,5.64,89.17,Wheat,0.65,MungBean
77.45,53.54,42.59,29.11,77.65,5.66,280.33,Maize,0.62,Rice
76.05,47.06,29.0,14.17,75.92,6.08,18.56,Rice,1.2,Wheat
28.56,27.97,30.04,16.31,61.88,6.39,29.59,Wheat,0.76,Mustard
24.29,43.6,71.53,12.54,47.8,7.35,10.75,Maize,0.77,Chickpea
22.83,38.87,76.66,10.7,41.03,8.0,10.87,Millet,0.56,Chickpea
26.68,32.37,86.02,19.55,40.37,7.58,44.49,Maize,0.43,Chickpea
28.68,24.16,38.49,11.9,59.15,6.72,46.9,Maize,0.76,Mustard
36.08,63.76,16.07,25.01,64.99,6.26,67.05,Rice,0.38,MungBean
31.92,37.17,36.79,12.59,55.4,6.6,13.42,Wheat,0.57,Mustard
30.75,77.22,18.41,25.78,52.1,6.38,56.13,Rice,0.81,PigeonPeas
85.38,49.4,57.46,29.77,81.05,6.87,243.98,Maize,0.24,Rice
29.15,77.24,16.93,27.84,58.72,5.78,90.84,Wheat,0.79,MungBean
25.32,37.31,84.65,19.72,59.31,7.1,16.43,Maize,0.26,Chickpea
29.64,78.93,17.56,26.0,58.62,6.15,94.44,Rice,0.7,MungBean
92.89,45.77,29.25,29.26,71.73,6.33,240.07,Rice,0.68,Maize
85.67,51.64,21.44,34.25,64.67,6.32,204.67,Rice,0.71,Maize
83.66,58.91,21.14,16.71,68.43,6.61,15.67,Rice,1.27,Wheat
92.4,59.76,37.48,13.4,74.98,7.33,39.6,MungBean,0.27,Wheat
21.9,77.63,21.95,29.85,61.15,6.11,55.03,Wheat,0.59,MungBean
22.53,30.95,35.25,18.99,60.42,6.75,35.13,Wheat,0.71,Mustard
81.48,53.77,29.18,32.43,69.99,6.48,232.85,Rice,0.52,Maize
20.24,38.93,74.58,14.92,47.95,7.72,38.19,Maize,1.43,Chickpea
29.11,70.31,24.28,25.73,54.79,6.44,96.56,Rice,0.98,MungBean
21.38,36.74,81.82,19.52,42.02,7.97,40.18,Millet,0.23,Chickpea
63.39,45.11,47.85,34.49,78.65,5.91,234.15,Fallow,0.97,Rice
70.2,47.25,41.08,28.6,73.3,7.32,253.5,Wheat,0.72,Sugarcane
89.51,41.9,29.27,19.12,78.04,6.72,45.68,Rice,0.46,Wheat
22.43,22.41,28.43,17.43,64.74,6.44,14.9,Wheat,0.38,Mustard
84.88,54.75,47.58,28.9,80.65,6.99,225.84,Wheat,0.48,Rice
